quote_id	source_id	snapshot_id	source_title	candidate_use	short_excerpt_or_phrase	paraphrase_for_prose	allowed_use	blocker_or_caveat
ALQ-001	S-0074	SNAP-20260525-004	Aligning language models to follow instructions	InstructGPT product-post framing	no local excerpt available	Use only the already sourced structural point that OpenAI publicly framed InstructGPT as a move from prompt-coaxed GPT-3 behavior toward instruction following and safer task performance.	paraphrase_only	Shell capture returned HTTP 403; no direct quote, exact product-post wording, labeler-process detail, or API-default wording until browser, archive, or alternate local capture exists.
ALQ-002	S-0075	SNAP-20260525-005	Model Spec (2024-05-08)	Behavior-specification overview	"desired behavior"	OpenAI presented the Model Spec as a behavior specification for models in the OpenAI API and ChatGPT, not as a claim that alignment was solved.	short_quote_ok	Use the captured 2024-05-08 artifact only; newer versions are outside this row unless separately sourced.
ALQ-003	S-0075	SNAP-20260525-005	Model Spec (2024-05-08)	Policy hierarchy	"objectives, rules, and defaults"	Chapter 6 can describe assistant behavior as a hierarchy of broad objectives, hard rules, and overridable defaults.	short_quote_ok	Quote fragment is safe; longer policy wording should remain paraphrased or be separately reviewed.
ALQ-004	S-0075	SNAP-20260525-005	Model Spec (2024-05-08)	Instruction priority	"Platform > Developer > User > Tool"	Use this as a compact example of how assistant behavior became an explicit command hierarchy rather than raw continuation.	short_quote_ok	Explain that this is the 2024 Model Spec's default ordering; do not generalize to all labs or all later OpenAI specs.
ALQ-005	S-0076	SNAP-20260525-006	GPT-4 System Card	Deployment-preparation frame	"safety processes"	GPT-4's system card made launch safety a package of measurement, model changes, product/system interventions, and external engagement.	short_quote_ok	Local PDF is ignored heavyweight media but hash-recorded; use source row and snapshot row for provenance.
ALQ-006	S-0076	SNAP-20260525-006	GPT-4 System Card	Mitigation humility	"limited and remain brittle"	The system card explicitly warned that mitigations were not proof of solved safety and could fail in some cases.	short_quote_ok	Do not turn this into an independent evaluation of GPT-4 safety; it is OpenAI's first-party disclosure language.
ALQ-007	S-0076	SNAP-20260525-006	GPT-4 System Card	External-expert signal	"more than 50 experts"	Use as a sourced sign that GPT-4 release preparation included external expert probing across risk areas.	short_quote_ok	Do not list red-team examples unless separately extracted with context and quote review.
ALQ-008	S-0077	SNAP-20260525-007	GPT-4o System Card	External red-team scale	"more than 100 external red teamers"	GPT-4o extended the system-card pattern with larger external red-team participation across languages and countries.	short_quote_ok	Keep multimodal/audio details brief and LLM-product-relevant in Chapter 6.
ALQ-009	S-0077	SNAP-20260525-007	GPT-4o System Card	Evaluation frame	"Preparedness Framework"	Use GPT-4o to show that by 2024 OpenAI was pairing system cards with named risk-evaluation frameworks.	short_quote_ok	Do not imply the framework proves absence of catastrophic risk; present it as a first-party evaluation structure.
ALQ-010	S-0077	SNAP-20260525-007	GPT-4o System Card	Red-team-to-eval loop	no direct quote recommended	Paraphrase that GPT-4o red-team data motivated quantitative evaluations and targeted synthetic data in some cases.	paraphrase_preferred	Exact sentence can be quoted later only if a final prose need justifies it; current table keeps the chapter out of quote bloat.
